("哪吒之魔童降世","now","110分钟","中国大陆",9.7,"导演: 饺子 演员: 吕艳婷 饰：儿童哪吒（配音） 囧森瑟夫 饰：少年哪吒（配音） 瀚墨 饰：敖丙（配音） 陈浩","https://p0.meituan.net/movie/005955214d5b3e50c910d7a511b0cb571445301.jpg","https://maoyan.com/films/1211270","2019-07-26 08:00大陆上映","天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵","天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？"),
("扫毒2天地对决","now","100分钟","中国香港 中国大陆",9.0,"导演: 邱礼涛 演员: 刘德华 饰：余顺天 古天乐 饰：地藏 苗侨伟 饰：林正风 林嘉欣","https://p0.meituan.net/movie/8d3efdc44af04c3254fc9e4ad5334ae32660685.jpg","https://maoyan.com/films/1218141","2019-07-05大陆上映","毒品市场维持四分天下的格局已久，但自从地藏（古天乐 饰）与墨","毒品市场维持四分天下的格局已久，但自从地藏（古天乐 饰）与墨西哥大毒枭跨境合作扩展势力，再加上一连串黑吃黑的动作，毒界变得风声鹤唳。另一方面，因儿时亲眼目睹父亲被毒品所毁而嫉毒如仇的慈善家兼金融巨子余顺天（刘德华 饰），正悬赏一亿歼灭香港最大毒贩，此举在社会上引起轩然大波。警员林正风（苗侨伟 饰）本致力搜证拘捕地藏，毒贩却因巨额悬赏导致人身安全受威胁，他在执行保护毒贩的任务时深感无奈，但又被余顺天的出价所诱惑，陷入黑白正邪的心理挣扎。原来，余顺天和地藏有不可告人的同门关系，一场天地对决一触即发。"),
("烈火英雄","now","120分钟","中国大陆",9.5,"导演: 陈国辉 演员: 黄晓明 饰：江立伟 杜江 饰：马卫国 谭卓 饰：李芳 杨紫","https://p0.meituan.net/movie/f75fcb7696d55452e32794b2219700b9840805.jpg","https://maoyan.com/films/1243361","2019-08-01大陆上映","滨港市海港码头发生管道爆炸，整个罐区的原油都顺着A01油罐往","滨港市海港码头发生管道爆炸，整个罐区的原油都顺着A01油罐往外流，化成火海和阵阵爆炸，威胁全市、全省，甚至邻国的安全。慌乱的市民们四处奔逃，一辆辆消防车却逆向冲进火海……"),
("银河补习班","now","147分钟","中国大陆",9.4,"导演: 邓超 俞白眉: 演员 邓超 饰：马皓文 白宇 饰：成年马飞 任素汐 饰：馨予","https://p0.meituan.net/movie/bb9f75599bfbb2c4cf77ad9abae1b95c1376927.jpg","https://maoyan.com/films/1229534","2019-07-18 08:00大陆上映","浩瀚太空，航天员意外失联，生命最大的绝境中，他回忆起自己那个","浩瀚太空，航天员意外失联，生命最大的绝境中，他回忆起自己那个最了不起的爸爸。一对父子跨越漫长的时光，守护爱和亲情，故事充满了欢乐、温暖、泪水与奇观。"),
("上海堡垒","now","107分钟","中国大陆",8.9,"导演: 滕华涛 演员: 鹿晗 饰：江洋 舒淇 饰：林澜 石凉 饰：邵一云 高以翔","https://p1.meituan.net/movie/5dde9673a97f1e11540dc4c4cc78cbcb3314363.jpg","https://maoyan.com/films/342903","2019-08-09 08:00大陆上映","未来世界外星黑暗势力突袭地球，上海成为了人类最后的希望。大学","未来世界外星黑暗势力突袭地球，上海成为了人类最后的希望。大学生江洋（鹿晗 饰）追随女指挥官林澜（舒淇 饰）进入了上海堡垒成为一名指挥员。外星势力不断发动猛烈袭击，林澜受命保护击退外星人的秘密武器，江洋和几个好友所在的灰鹰小队则要迎战外星侵略者，保卫人类的最后一战最终在上海打响……"),
("狮子王","now","118分钟","美国",8.9,"导演: 乔恩·费儒 演员: 唐纳德·格洛弗 饰：辛巴（配音）Simba（voice） 塞斯·罗根 饰：疣猪彭彭（配音）Pumbaa（voice） 詹姆斯·厄尔·琼斯 饰：老狮王木法沙（配音）Mufasa（voice） 比利·艾希纳","https://p0.meituan.net/moviemachine/7b9b0725ab5feae642e1fbba9fbb90fe3702078.jpg","https://maoyan.com/films/1189879","2019-07-12大陆上映","小狮子王辛巴（唐纳德·格洛弗 配音）在众多热情的朋友的陪伴下","小狮子王辛巴（唐纳德·格洛弗 配音）在众多热情的朋友的陪伴下，不但经历了生命中最光荣的时刻，也遭遇了最艰难的挑战，最后终于成为了森林之王，也在周而复始生生不息的自然中体会出生命的真义。非洲大草原上一轮红日冉冉升起，为高大的乞力马扎罗山披上层金色的光纱，所有的动物涌向了同一个地方——荣耀石，兴奋地等待着一个重大消息的宣布：它们的国王木法沙将迎来自己的新生儿。这个新生儿就是小狮子辛巴，它是木法沙的法定接班人、荣耀石未来的国王。"),
("全职高手之巅峰荣耀","now","98分钟","中国大陆",9.0,"导演: 邓志巍 史涓生: 演员 阿杰 饰：叶修（配音） 边江 饰：苏沐秋（配音） 西子 饰：苏沐橙（配音）","https://p1.meituan.net/moviemachine/e64318c8306e2ed72b387923c7094566335057.jpg","https://maoyan.com/films/1209269","2019-08-16大陆上映","电子竞技成为全国第78个体育赛事，“荣耀”将首次举办职业联赛","电子竞技成为全国第78个体育赛事，“荣耀”将首次举办职业联赛。18岁的叶秋（阿杰 配音）与好友苏沐秋（边江 配音），在网吧老板陶轩（文靖渊 配音）的协助下，开始组建草根电竞战队“嘉世 ”。同时，来自全国各地不同背景的队友们也因为梦想齐聚一堂，为着电竞舞台的最高荣耀而刻苦训练。 嘉世一路过关斩将，即将冲进决赛之际，团队却遭遇危机。面对劲敌皇风战队来势汹汹，作为队长的叶秋要如何解决眼前的困境？这样一群怀揣梦想的少年，是否能够登上荣耀的巅峰？"),
("蜘蛛侠：英雄远征","now","127分钟","美国",9.0,"导演: 乔·沃茨 演员: 汤姆·赫兰德 饰：彼得·帕克 / 蜘蛛侠 Peter Parker / Spider-Man 杰克·吉伦哈尔 饰：神秘客 Quentin Beck / Mysterio 塞缪尔·杰克逊 饰：尼克·弗瑞 Nick Furry 赞达亚·科尔曼","https://p0.meituan.net/moviemachine/5dac476535359b7bb951ff15d37a9d0b153821.jpg","https://maoyan.com/films/1198925","2019-06-28大陆上映","故事全面延续“复联4”，蜘蛛侠志承钢铁侠远征欧洲，独挑大梁对","故事全面延续“复联4”，蜘蛛侠志承钢铁侠远征欧洲，独挑大梁对抗群敌！新角色“神秘客”穿越多元宇宙霸气登场！神盾局局长尼克·弗瑞回归领军！“漫威新铁三角”组合强势出击！全新蜘蛛战衣酷炫升级！史诗对决燃爆今夏突破想象极限！"),
("鼠胆英雄","now","106分钟","中国大陆",8.3,"导演: 束焕 邵丹: 演员 岳云鹏 饰：闫大海 佟丽娅 饰：杜卿 田雨 饰：赵瀚青","https://p0.meituan.net/movie/f35ac31a224c601002f904703bb14e054448434.jpg","https://maoyan.com/films/1207254","2019-08-02大陆上映","三十年代的上海滩，胆小如鼠的青龙帮小弟闫大海（岳云鹏 饰）发","三十年代的上海滩，胆小如鼠的青龙帮小弟闫大海（岳云鹏 饰）发现自己身患绝症之际，竟阴差阳错当上了警察。为了给梦中女神--飞乐门舞女杜卿（佟丽娅 饰）挣赎身钱，他计划在自己生命中所剩不多的时间里因公殉职，从而拿到抚恤金拯救女神。然而，在他疯狂执行铲除“黑帮”、“毒枭”任务以身赴死期间，却总是事与愿违求死不得死，反而得到屡屡升迁。然而，纸醉金迷的上海滩，还隐藏着更大的危机。"),
("沉默的证人","now","94分钟","中国大陆 中国香港",8.3,"导演: 雷尼·哈林 演员: 张家辉 饰：陈嘉豪 杨紫 饰：乔琳 任贤齐 饰：Santa 克拉拉","https://p0.meituan.net/movie/314f18a87b4df9a74a0c8341fa047fd24302018.jpg","https://maoyan.com/films/1207237","2019-08-16大陆上映","雨夜，香港法医中心遭遇一伙训练有素的悍匪的洗劫。来者挟持陈嘉","雨夜，香港法医中心遭遇一伙训练有素的悍匪的洗劫。来者挟持陈嘉豪（张家辉 饰）乔琳（杨紫 饰）两位法医，逼迫他们寻找一具特殊尸体并找出尸体体内的一颗子弹。法医在解剖的过程中发现，子弹事关一场黑帮血拼的大案，而匪首SANTA（任贤齐 饰）的身份也另有蹊跷。为了保护证物揭开真相，手无寸铁的陈嘉豪乔琳，利用身边一切可以利用的器械，和法医中心的特殊地势进行布局反击。逐渐被激怒的匪徒越发狂躁嗜血，陷入绝境的法医们，无畏楼毁人亡的危机，决心硬刚到底！"),
